node   1  (   0,    0) (   6,    3) (  10,    4) (   8,    5) (   6,    6) (   6,    5) (   6,    8) (   6,    8) (   6,    8) (   6,    6)
          (   6,    4) (   6,    4) (   6,    6) (   6,    6) (   6,    5) (   6,    6) (   6,    5) (   6,    7) (   6,    6) (   6,    5)
          (   6,    6) (   6,    8) (   6,    7) (   6,    6) (   6,    7) (   6,    6) (   6,    6) (   6,    5) (   6,    6) (   6,    5)
          (   6,    4) (   6,    8) (   6,    5) (   6,    8) (   6,    6) (   6,    5) (   6,    8) (   6,    6) (   6,    6) (   6,    6)
          (   6,    7) (   6,    7) (   6,    7) (   6,    7) (   6,    5) (   6,    5) (   6,    2) (   6,    8) (   6,    6) (   6,    6)
          (   6,    5) (   6,    5) (   6,    6) (   6,    8) (   6,    5) (   6,    8) (   6,    5) (   6,    7) (   6,    6) (   6,    6)
          (   6,    6) (   6,    4) (   6,    6) (   6,    4) (   6,    3) (   6,    5) (   6,    5) (   6,    7) (   6,    7) (   6,    4)
          (   6,    8) (   6,    5) (   6,    9) (   6,    3) (   6,    8) (   6,    5) (   6,    5) (   6,    6) (   6,    6) (   6,    5)
          (   6,    8) (   6,    6) (   6,    6) (   6,    5) (   6,    4) (   6,    5) (   6,    8) (   6,    6) (   6,    6) (   6,    6)
          (   6,    5) (   6,    7) (   6,    5) (   6,    4) (   6,    7) (   6,    7) (   6,    7) (   6,    6) (   6,    6) (   6,    5)
          (   6,    6) (   6,    4) (   6,    3) (   6,    4) (   6,    6) (   6,    7) (   6,    6) (   6,    4) (   6,    7) (   6,    7)
          (   6,    6) (   6,    6) (   6,    6) (   6,    8) (   6,    7) (   6,    6) (   6,    7) (   6,    5) (   6,    5) (   6,    7)
          (   6,    4) (   6,    6) (   6,    5) (   6,    6) (   6,    6) (   6,    5) (   6,    5) (   6,    7) (   6,    7) (   6,    5)
          (   6,    5) (   6,    6) (   6,    6) (   6,    7) (   6,    4) (   6,    7) (   6,    6) (   6,    5) (   6,    4) (   6,    6)
